,activePlaceCount,birthYear,date,fc,gender,id,mda,movements,startLetter,totalWorks,url,birth.place.name,birth.place.placeName,birth.place.placeType,birth.time.startYear,death.place.name,death.place.placeName,death.place.placeType,death.time.startYear,json_path,dict,dict_sub,dict_sub_sub,file_name,activePlaces
1658,0,1923.0,1923–1987,Edward Middleditch,Male,1630,"Middleditch, Edward","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 427, 'name': 'Kitchen Sink Art'}]",M,4,http://www.tate.org.uk/art/artists/edward-middleditch-1630,"Chelmsford, United Kingdom",Chelmsford,inhabited_place,1923.0,,,,1987.0,clone/artists/m/middleditch-edward-1630.json,clone,artists,m,middleditch-edward-1630.json,
1659,0,1959.0,born 1959,Dario Mitidieri,Male,12049,"Mitidieri, Dario",[],M,1,http://www.tate.org.uk/art/artists/dario-mitidieri-12049,Italia,Italia,nation,1959.0,,,,,clone/artists/m/mitidieri-dario-12049.json,clone,artists,m,mitidieri-dario-12049.json,
1660,0,1791.0,1791–1814,Henry Monro,Male,2289,"Monro, Henry",[],M,1,http://www.tate.org.uk/art/artists/henry-monro-2289,"London, United Kingdom",London,inhabited_place,1791.0,,,,1814.0,clone/artists/m/monro-henry-2289.json,clone,artists,m,monro-henry-2289.json,
1661,0,1740.0,1740–1813,William Marlow,Male,368,"Marlow, William",[],M,38,http://www.tate.org.uk/art/artists/william-marlow-368,"London, United Kingdom",London,inhabited_place,1740.0,"Twickenham, United Kingdom",Twickenham,neighbourhood,1813.0,clone/artists/m/marlow-william-368.json,clone,artists,m,marlow-william-368.json,
1662,0,1925.0,born 1925,Ovidiu Maitec,Male,1557,"Maitec, Ovidiu",[],M,1,http://www.tate.org.uk/art/artists/ovidiu-maitec-1557,"Arad, România",Arad,inhabited_place,1925.0,,,,,clone/artists/m/maitec-ovidiu-1557.json,clone,artists,m,maitec-ovidiu-1557.json,
1663,0,1887.0,1887–1977,William McMillan,Male,1612,"McMillan, William",[],M,1,http://www.tate.org.uk/art/artists/william-mcmillan-1612,"Aberdeen, United Kingdom",Aberdeen,inhabited_place,1887.0,,,,1977.0,clone/artists/m/mcmillan-william-1612.json,clone,artists,m,mcmillan-william-1612.json,
1664,0,1818.0,1818–1872,George Mason,Male,373,"Mason, George",[],M,5,http://www.tate.org.uk/art/artists/george-mason-373,"Witley, United Kingdom",Witley,inhabited_place,1818.0,,,,1872.0,clone/artists/m/mason-george-373.json,clone,artists,m,mason-george-373.json,
1665,0,1855.0,1855–1904,Arthur Melville,Male,375,"Melville, Arthur",[],M,2,http://www.tate.org.uk/art/artists/arthur-melville-375,"Angus, United Kingdom",Angus,unitary_authority,1855.0,"Whiteley Village, United Kingdom",Whiteley Village,inhabited_place,1904.0,clone/artists/m/melville-arthur-375.json,clone,artists,m,melville-arthur-375.json,
1666,0,1886.0,1886–1974,Lord Methuen,Male,1626,"Methuen, Lord",[],M,5,http://www.tate.org.uk/art/artists/lord-methuen-1626,"Corsham, United Kingdom",Corsham,inhabited_place,1886.0,,,,1974.0,clone/artists/m/methuen-lord-1626.json,clone,artists,m,methuen-lord-1626.json,
1667,0,1894.0,1894–1962,Mane-Katz,Male,1565,Mane-Katz,[],M,1,http://www.tate.org.uk/art/artists/mane-katz-1565,"Kremenchug, Ukrayina",Kremenchug,inhabited_place,1894.0,"Tel Aviv-Yafo, Yisra'el",Tel Aviv-Yafo,inhabited_place,1962.0,clone/artists/m/mane-katz-1565.json,clone,artists,m,mane-katz-1565.json,
