moma_artist_id,artist_name,nationality,gender,born,dead
165,James Anderson,British,male,1813,1877.0
166,Jerry Anderson,American,male,1938,
167,John Anderson,British,male,1928,2021.0
168,Neil Anderson,American,male,1933,
169,Paul L. Anderson,American,male,1880,1956.0
170,Monika Andersson,Swedish,female,1957,
172,Joe Andoe,American,male,1955,
173,Farnese de Andrade-Neto,Brazilian,male,1926,1996.0
174,Carl Andre,American,male,1935,
175,Pat Andrea,Dutch,male,1942,
176,A. Andreas,French,,,
177,Henning Andreasen,Danish,male,1923,
178,Laura Andreson,American,female,1902,1999.0
179,Mariano Andreù,Spanish,male,1888,1976.0
180,Benny Andrews,American,male,1930,2006.0
181,Emmy Andriesse,Dutch,female,1914,1953.0
182,Claudia Andujar,American,female,1931,
183,Manuel Angeles Ortiz,Spanish,male,1896,1984.0
184,Ludwig Angerer,Austrian,male,1827,1879.0
185,Bruce Angrave,British,male,,
186,Raúl Anguiano,Mexican,male,1915,2006.0
188,Sibyl Anikeef,American,female,1896,1996.0
189,James Craig Annan,British,male,1864,1946.0
190,Thomas Annan,British,male,1829,1887.0
193,David Annesley,British,male,1936,
194,Horst Antes,German,male,1936,
195,William Anthony,American,male,1934,
196,Stephen Antonakos,American,male,1926,2013.0
198,Garo Antreasian,American,male,1922,2018.0
199,Nemesio Antúnez,Chilean,male,1918,1993.0
200,Richard Anuszkiewicz,American,male,1930,2020.0
201,Aoki Toshio,,,,
202,Carl Apfelschnitt,American,male,1948,
203,Karel Appel,Dutch,male,1921,2006.0
204,Leon Appelbaum,American,male,,
205,Ida Applebroog,American,female,1929,
207,Shusaku Arakawa,American,male,1936,2010.0
208,Diane Arbus,American,female,1923,1971.0
209,Alexander Archipenko,American,male,1887,1964.0
211,Mordecai Ardon,Israeli,male,1896,1992.0
212,Luis Arenal,Mexican,male,1909,1985.0
214,Egmont Arens,American,male,1888,1966.0
215,Tamotsu Arikawa,Japanese,male,,
216,Avigdor Arikha,Romanian,male,1929,2010.0
217,Gonzalo Ariza,Colombian,male,1912,1995.0
218,Alda Maria Armagni,Argentine,female,,
219,Siah Armajani,American,male,1939,2020.0
220,Arman,American,male,1928,2005.0
221,Armando,Dutch,male,1929,
222,F. Armbruster,French,male,1835,1912.0
224,Kenneth Armitage,British,male,1916,2002.0
225,John Taylor Arms,American,male,1887,1953.0
226,John Armstrong,British,male,1893,1973.0
227,François Arnal,French,male,1924,2012.0
228,Arndt,German,,1898,1976.0
229,Eugène Atget,French,male,1857,1927.0
230,John Atherton,American,male,1900,1952.0
231,Anna Atkins,British,female,1799,1871.0
232,Conrad Atkinson,British,male,1940,
233,Lawrence Atkinson,British,male,1873,1931.0
234,Terry Atkinson,British,male,1939,
235,Jean-Michel Atlan,French,male,1913,1960.0
236,Dotty Attie,American,female,1938,
238,Carl Auböck,Austrian,male,1924,1993.0
239,Charles Aubry,French,male,1811,1877.0
240,Frank Auerbach,British,male,1931,
241,Gae Aulenti,Italian,female,1930,2012.0
242,Keith James Aulik,American,male,1918,1999.0
243,George Ault,American,male,1891,1948.0
245,Irving Austin,American,male,,
246,Mario Avati,Italian,male,1921,2009.0
247,Edward Avedisian,American,male,1936,2007.0
248,Richard Avedon,American,male,1923,2004.0
249,Frances Avery,American,female,1910,2006.0
250,Milton Avery,American,male,1885,1965.0
251,David Avison,American,male,1937,2004.0
252,Mordechai Avniel,Israeli,male,,
254,Kiyoshi Awazu,Japanese,male,1929,2009.0
255,Ay-O,Japanese,male,1931,
256,Alice Aycock,American,female,1946,
257,Pierre Ayot,Canadian,male,1943,1995.0
258,Michael Ayrton,British,male,1921,1975.0
259,Luis Cruz Azaceta,American,male,1942,
260,Umetaro Azechi,Japanese,male,1902,1999.0
261,Kengiro Azuma,Japanese,male,1926,
262,Johannes Baader,German,male,1875,1955.0
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,male,1892,1927.0
264,Kurt W. Baasch,American,male,1891,1964.0
265,Alice Baber,American,female,1928,1982.0
266,Bacard Fils,French,male,,
268,Edmondo Bacci,Italian,male,1913,1978.0
269,Elvira Bach,German,female,1951,
270,Olof Backman,Swedish,male,1899,
271,Olof Backstrom,Finnish,male,1922,
272,Francis Bacon,British,male,1909,1992.0
273,Peggy Bacon,American,female,1895,1987.0
275,Karl Baden,American,male,1952,
276,Mowry Thatcher Baden,American,male,1936,
277,Aquiles Badi,Argentine,male,1894,1976.0
278,Libero Badii,Argentine,male,1916,2001.0
279,Frank Badur,German,male,1944,
280,Donald Baechler,American,male,,2022.0
281,Jo Baer,American,female,1929,
282,Martin Baer,American,male,1894,1961.0
283,Olle Baertling,Swedish,male,1911,1981.0
284,Myrna Báez,American,female,1931,
285,John Bageris,American,male,1924,2000.0
286,Heinz Bahr,German,male,1934,
287,Malcolm Bailey,American,male,1947,2011.0
288,Oscar Bailey,American,male,1925,2010.0
289,William Bailey,American,male,1930,2020.0
290,Larry Bair,American,male,1952,1990.0
291,Eugenie Baizerman,American,female,1899,1949.0
292,Enrico Baj,Italian,male,1924,2003.0
294,Carl Baker,American,male,,
